iteration;exec time (1 thread);exec time (16 threads);exec time (16 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(16 threads)
216;53.846450;17.270601;3.365403;3.117810;16.000000;0.194863;1.000000;29100962.000000;29100982.000000
217;54.095758;17.330488;3.380985;3.121421;16.000000;0.195089;1.000000;28974806.000000;28974812.000000
218;54.339227;17.392565;3.396202;3.124279;16.000000;0.195267;1.000000;28849212.000000;28849214.000000
219;54.562608;17.502418;3.410163;3.117433;16.000000;0.194840;1.000000;28724154.000000;28724154.000000
220;54.833018;17.611879;3.427064;3.113411;16.000000;0.194588;1.000000;28600220.000000;28600230.000000
221;55.068026;17.721380;3.441752;3.107434;16.000000;0.194215;1.000000;28476400.000000;28476406.000000
222;55.297266;17.781624;3.456079;3.109798;16.000000;0.194362;1.000000;28353390.000000;28353390.000000
223;55.520150;17.839635;3.470009;3.112180;16.000000;0.194511;1.000000;28230768.000000;28230770.000000
224;55.812544;17.898856;3.488284;3.118218;16.000000;0.194889;1.000000;28108998.000000;28108998.000000
225;56.066348;17.957032;3.504147;3.122250;16.000000;0.195141;1.000000;27987788.000000;27999248.000000
226;56.292195;18.015239;3.518262;3.124699;16.000000;0.195294;1.000000;27867210.000000;27867216.000000
227;56.533631;18.124807;3.533352;3.119130;16.000000;0.194946;1.000000;27747210.000000;27747208.000000
228;56.796322;18.234765;3.549770;3.114727;16.000000;0.194670;1.000000;27627804.000000;27627808.000000
229;57.027770;18.344372;3.564236;3.108734;16.000000;0.194296;1.000000;27509016.000000;27509562.000000
230;57.272231;18.452846;3.579514;3.103707;16.000000;0.193982;1.000000;27390880.000000;27390882.000000
231;57.544974;18.562320;3.596561;3.100096;16.000000;0.193756;1.000000;27273278.000000;27273260.000000
232;57.775455;18.671785;3.610966;3.094265;16.000000;0.193392;1.000000;27156388.000000;27156378.000000
233;57.994444;18.779860;3.624653;3.088119;16.000000;0.193007;1.000000;27040030.000000;27040028.000000
234;58.221034;18.838049;3.638815;3.090608;16.000000;0.193163;1.000000;26923988.000000;26923988.000000
235;58.505006;18.894687;3.656563;3.096373;16.000000;0.193523;1.000000;26809140.000000;26809152.000000
236;58.737471;18.954969;3.671092;3.098790;16.000000;0.193674;1.000000;26694436.000000;26694432.000000
237;58.961213;19.011894;3.685076;3.101280;16.000000;0.193830;1.000000;26580012.000000;26580016.000000
238;59.198690;19.068776;3.699918;3.104483;16.000000;0.194030;1.000000;26466492.000000;26466488.000000
239;59.472781;19.178612;3.717049;3.100995;16.000000;0.193812;1.000000;26353582.000000;26353556.000000
240;59.703099;19.288663;3.731444;3.095243;16.000000;0.193453;1.000000;26241342.000000;26241364.000000
241;59.931082;19.399347;3.745693;3.089335;16.000000;0.193083;1.000000;26129450.000000;26129460.000000
242;60.209420;19.510664;3.763089;3.085975;16.000000;0.192873;1.000000;26018162.000000;26018168.000000
243;60.435191;19.618964;3.777199;3.080448;16.000000;0.192528;1.000000;25907264.000000;25907280.000000
244;60.660818;19.728255;3.791301;3.074819;16.000000;0.192176;1.000000;25797216.000000;25797228.000000
245;60.892219;19.786919;3.805764;3.077398;16.000000;0.192337;1.000000;25687582.000000;25687592.000000
246;61.181786;19.843971;3.823862;3.083142;16.000000;0.192696;1.000000;25578586.000000;25578588.000000
247;61.410809;19.901578;3.838176;3.085726;16.000000;0.192858;1.000000;25469918.000000;25469920.000000
248;61.652843;19.962796;3.853303;3.088387;16.000000;0.193024;1.000000;25361916.000000;25361908.000000
249;61.878645;20.022767;3.867415;3.090414;16.000000;0.193151;1.000000;25254516.000000;25255236.000000
250;62.149305;20.131553;3.884332;3.087159;16.000000;0.192947;1.000000;25147516.000000;25147512.000000
251;62.386372;20.241238;3.899148;3.082142;16.000000;0.192634;1.000000;25041208.000000;25041208.000000
252;62.626878;20.350890;3.914180;3.077353;16.000000;0.192335;1.000000;24935470.000000;24935476.000000
253;62.884378;20.411699;3.930274;3.080801;16.000000;0.192550;1.000000;24829908.000000;49658852.000000
254;63.135972;20.470449;3.945998;3.084250;16.000000;0.192766;1.000000;24725174.000000;24740654.000000
255;63.372191;20.527733;3.960762;3.087150;16.000000;0.192947;1.000000;24620866.000000;24620868.000000
256;63.598078;20.586776;3.974880;3.089268;16.000000;0.193079;1.000000;24516936.000000;24516942.000000
257;63.854014;20.647551;3.990876;3.092571;16.000000;0.193286;1.000000;24413706.000000;24413708.000000
258;64.079640;20.756330;4.004977;3.087234;16.000000;0.192952;1.000000;24310820.000000;24310824.000000
259;64.305012;20.863870;4.019063;3.082123;16.000000;0.192633;1.000000;24208844.000000;24208856.000000
